1910	-0.81
1911	0.04
1912	-0.43
1913	-0.51
1914	-0.31
1915	-0.13
1916	0.04
1917	-0.62
1918	-0.4
1919	-0.16
1920	-0.41
1921	-0.12
1922	0.3
1923	-0.11
1924	-0.41
1925	0.02
1926	-0.22
1927	0.2
1928	-0.3
1929	-0.23
1930	-0.47
1931	-0.52
1932	0.09
1933	0.2
1934	0.17
1935	0.22
1936	0.07
1937	0.26
1938	-0.02
1939	0.11
1940	-0.09
1941	0.34
1942	0.41
1943	0.46
1944	0.53
1945	0.3
1946	0.22
1947	0.16
1948	0.25
1949	0.49
1950	0.2
1951	0.07
1952	0.01
1953	0.23
1954	0.19
1955	0.24
1956	0.11
1957	0.51
1958	0.11
1959	0.11
1960	0.03
1961	-0.07
1962	0.21
1963	-0.01
1964	-0.22
1965	0
1966	-0.26
1967	-0.11
1968	-0.22
1969	-0.09
1970	-0.41
1971	-0.09
1972	0.27
1973	-0.03
1974	-0.02
1975	0.1
1976	-0.34
1977	0.02
1978	-0.03
1979	-0.15
1980	0.14
1981	-0.09
1982	0.39
1983	0.01
1984	-0.47
1985	0.09
1986	0.12
1987	-0.16
1988	-0.34
1989	0.17
1990	0.24
1991	0.21
1992	-0.29
1993	-0.14
1994	0.18
1995	0.21
1996	-0.18
1997	0.16
1998	0.14
1999	0.25
2000	0.38
2001	0.19
2002	0.38
2003	0.23
2004	0.38
2005	0.24
2006	0.37
2007	0.23
2008	0.11
2009	0.37
2010	-0.18
2011	0.18
2012	0.57
2013	0.22
